,French,English
0,partie,part
1,histoire,history
2,chercher,search
3,seulement,only
4,police,police
5,pensais,thought
6,aide,help
7,demande,request
8,mois,month
9,laisser,let
10,car,because
11,mettre,to put
12,aucun,no
13,laisse,leash
14,eux,them
15,ville,city
16,chaque,each
17,parlé,speak
18,arrivé,come
19,heures,hours
20,pendant,while
21,revoir,meet again
22,aucune,any
23,parle,speak
24,compris,understood
25,savais,knew
26,étaient,were
27,attention,Warning
28,pourrais,could
29,affaire,case
30,donner,give
31,type,type
32,leurs,their
33,donné,given
34,train,train
35,corps,body
36,endroit,place
37,yeux,eyes
38,façon,way
39,écoute,listen
40,dont,whose
41,trouve,find
42,premier,first
43,perdu,lost
44,main,hand
45,première,first
46,côté,side
47,pouvoir,power
48,vieux,old
49,sois,be
50,tellement,so much
51,enfant,child
52,point,point
53,venu,came
54,suite,after
55,pardon,sorry
56,devant,in front of
57,vers,towards
58,minutes,minutes
59,demandé,request
60,chambre,bedroom
61,mis,placed
62,belle,beautiful
63,droit,law
64,aimerais,would like to
65,mari,husband
66,cause,cause
67,enfin,finally
68,espère,hope
69,eau,water
70,attendez,Wait
71,parti,left
72,nouvelle,new
73,boulot,job
74,arrêter,Stop
75,dirait,would say
76,compte,account
77,donne,given
78,croire,believe
79,chérie,sweetheart
80,gros,large
81,plutôt,rather
82,aura,will have
83,filles,girls
84,jouer,to play
85,bureau,office
